Auracle,MioXL -  MAC STUDIO,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send Clock,Editor,Notes
,Usb Host (f),9,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (f),10,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Daw (f),0,↔,,,,,,↔,Guest Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rtp,0,↔,,,,,,←,CR TP-LINK RTP router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBX-1,,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send clock,Editor,Notes
,Din Sync Out,1,→,,,,,,→,TR-606 B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
,Din Sync Out,2,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Sync In,1,←,,,,,,←,      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
,Midi Out,1,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midi Out,2,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midi In,1,←,,,,,,S1,Midi Solutions Quadra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
,Usb In/Out,1,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
