RTP LANE NUMBER,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,,
DAW USB PORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiator,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,
bonjour,,,,,,,,,,,,,,,,,,BONJOUR,,BONJOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,→,,,,,,,,,,Synthex,,,,,,,,Synthex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,5U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,Arp 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,MPU Guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,MPU Guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,Kil CV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,Kil CV-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,Kil Trigs 1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,uMIDI. Guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,System 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,Fenix IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock sources,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,
Kilpatrick K1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirkclon MK II ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock Destinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MioXM - MPC XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MIDI CHANNELS,Direction,,SYN.1.MPC,,SYN.2.MPC,,SYN.3.MPC,,SYN.4.MPC,,SYN.5.MPC,,SYN.6.MPC,,GUEST.1.MPC,,SEQ.1.MPC,,CTRL.1.MPC,,MISC.FX.1.MPC,,OLD GUEST.2.MPC,,BEATCCLOCK,,,,,,,,,,,,,,,,,,,,,,,
RTP GROUP,,,,1,,2,,3,,4,,,,6,,7,,,,,,8,,9,,10,,,,,,,,,,,,,,,,,,,,12,,,
DAW USB PORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiator,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,
bonjour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,→,,Jupiter 8,,squid 1,,model d,,keystep 1,,Synthex,,MPU 1 / S 100m,,KS port 3 - 1,,,,,,VP-9000 A,,uMIDI.G,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,OBX,,squid 2,,prophet vs,,keystep 2 ,,5U,,MPU 2 / S 101,,KS port 3 - 2,,,,,,VP-9000 B,,MPU.MS.1,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,P5 rev2,,prophet 5 r3,,solus 1,,MS6,,2600,,MPU 3 / S 102,,KS port 3 - 3,,,,,,VP-9000 C,,MPU.MS.2,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,Jupiter 6,,xpander 1,,solus 2,,3rd Wave,,MPU.MP.3,,MPU 4,,KS port 3 - 4,,,,,,VP-9000 D,,MPU.MS.3,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,770,,xpander 2,,tvs 1,,mkS80,,MPU.MP.4,,,,KS port 3 - 5,,,,,,VP-9000 E,,MPU.MS.4,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,pro one,,xpander 3,,mpu.ki 4,,d550,,Kil CV-1,,,,KS port 3 - 6,,,,,,VP-9000 F,,MS.DIN5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,sh 2,,,,wavestation,,Matrix 1000w,,Kil CV-2,,M1000B2,,KS port 3 -7,,,,,,H3000SE,,MS.DIN5.7,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,mono/poly,,,,,,TX816,,Kil Trigs 1-4,,,,KS port 3 - 8,,,,,,Warp Factory,,MS.DIN6.b,,,,,,,,,,,,,,,,,,,,,,,,,
 ,9,,,odysset mk3,,,,k2000r,,TX816,,,,,,Usb A - Host - 9,,,,,,Digitech Vocalist ,,MS.USB.9,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,sh101,,LUMA,, ,,TX816,,,,,,Usb A - Host -10,,,,,,Korg DVP-1,,MS.USB.10,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,ms20,,SQ64 / DDRUM,,,,TX816,,,,Guest Drawer ,,Usb A - Host - 11,,,,,,DIGITECH 256,,MS.USB.11,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,encore cv/g 8,,Linndrum,,k5000r,,TX816,,uMIDI.MP,,Guest 2 Drawer,,Usb A - Host - 12,,,,,,SPX 900,,MS.USB.12,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,jupiter 4,,drm1,,S612,,TX816,,system 35,,VC-340,,Usb A - Host - 13,,,,,,PUBLISON IM90,,MS.USB.13,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,ps3300,,dx,,OPSIX,,TX816,,,,,,Usb A - Host - 14,,,,,,SBX-1,,MS.USB.14,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,memorymoog,,tr909,,,,TX816,,2600m,,P10 r4,,Usb A - Host - 15,,,,,,,,MS.USB.15,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,ps3100,,drumtrax,,,,prophet xl,,,,,,Usb A - Host - 16,,,,,,,,MS.USB.16,,,,,,,,,,,,,,,,,,,,,,,,,
Clock sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
